frame,sim_time,x,y,z,yaw_deg,speed_mps,yawrate_rps,throttle,brake,steer,reverse,gear,hand_brake,lane_id,offset_m,dist_left_m,dist_right_m,lane_event,map
15330,641.217,521.546,52.202,-0.006,0.293,3.140,-2.2123,0.700,0.000,-0.100,0,1,0,-7,-0.021,1.729,1.771,,Town06
15331,641.267,521.708,52.195,-0.006,0.127,3.332,-3.8859,1.000,0.000,-0.100,0,1,0,-7,-0.027,1.723,1.777,,Town06
15332,641.317,521.881,52.187,-0.006,-0.095,3.564,-4.7275,1.000,0.000,-0.100,0,1,0,-7,-0.035,1.715,1.785,,Town06
15333,641.367,522.066,52.178,-0.006,-0.348,3.803,-5.2639,1.000,0.000,-0.100,0,1,0,-7,-0.045,1.705,1.795,,Town06
15334,641.417,522.262,52.163,-0.006,-0.686,4.015,-8.0690,1.000,0.000,-0.200,0,1,0,-7,-0.059,1.691,1.809,,Town06
15335,641.467,522.467,52.142,-0.005,-1.163,4.223,-10.3599,1.000,0.000,-0.200,0,1,0,-7,-0.080,1.670,1.830,,Town06
15336,641.517,522.683,52.117,-0.005,-1.725,4.430,-11.7372,1.000,0.000,-0.200,0,1,0,-7,-0.105,1.645,1.855,,Town06
15337,641.567,522.906,52.085,-0.005,-2.403,4.599,-15.0214,1.000,0.000,-0.300,0,1,0,-7,-0.137,1.613,1.887,,Town06
15338,641.617,523.136,52.044,-0.005,-3.241,4.766,-17.7549,1.000,0.000,-0.300,0,1,0,-7,-0.178,1.572,1.928,,Town06
15339,641.667,523.373,51.996,-0.004,-4.184,4.937,-19.5134,1.000,0.000,-0.300,0,1,0,-7,-0.226,1.524,1.976,,Town06
15340,641.717,523.616,51.939,-0.004,-5.256,5.063,-22.9589,1.000,0.000,-0.400,0,1,0,-7,-0.282,1.468,2.032,,Town06
15341,641.767,523.861,51.871,-0.003,-6.497,5.189,-25.9297,1.000,0.000,-0.400,0,1,0,-7,-0.350,1.400,2.100,,Town06
15342,641.817,524.110,51.794,-0.003,-7.859,5.315,-28.1113,1.000,0.000,-0.400,0,1,0,-7,-0.428,1.322,2.178,,Town06
15343,641.867,524.357,51.710,-0.003,-9.287,5.255,-28.6646,1.000,0.000,-0.400,0,1,0,-7,-0.511,1.239,2.261,,Town06
15344,641.917,524.598,51.618,-0.002,-10.803,5.184,-31.8470,1.000,0.000,-0.500,0,1,0,-7,-0.603,1.147,2.353,,Town06
15345,641.967,524.834,51.523,-0.002,-12.325,5.167,-28.5581,1.000,0.000,0.000,0,1,0,-7,-0.698,1.052,2.448,,Town06
15346,642.017,525.078,51.437,-0.001,-13.516,5.235,-19.8468,1.000,0.000,0.000,0,1,0,-7,-0.783,0.967,2.533,,Town06
15347,642.067,525.330,51.365,-0.001,-14.251,5.253,-11.7959,1.000,0.000,0.000,0,1,0,-7,-0.856,0.894,2.606,,Town06
15348,642.117,525.585,51.301,-0.001,-14.630,5.278,-5.0434,1.000,0.000,0.100,0,1,0,-7,-0.920,0.830,2.670,,Town06
15349,642.167,525.842,51.244,-0.002,-14.692,5.261,0.7768,1.000,0.000,0.100,0,1,0,-7,-0.977,0.773,2.727,,Town06
15350,642.217,526.099,51.189,-0.002,-14.572,5.272,3.9215,1.000,0.000,0.100,0,1,0,-7,-1.031,0.719,2.781,,Town06
15351,642.267,526.357,51.139,-0.002,-14.280,5.284,7.7477,1.000,0.000,0.200,0,1,0,-7,-1.081,0.669,2.831,,Town06
15352,642.317,526.618,51.095,-0.002,-13.791,5.286,10.4944,1.000,0.000,0.200,0,1,0,-7,-1.125,0.625,2.875,,Town06
15353,642.367,526.878,51.055,-0.002,-13.183,5.271,12.8410,1.000,0.000,0.200,0,1,0,-7,-1.165,0.585,2.915,,Town06
15354,642.417,527.140,51.022,-0.002,-12.439,5.340,16.5760,1.000,0.000,0.300,0,1,0,-7,-1.198,0.552,2.948,,Town06
15355,642.467,527.407,50.991,-0.002,-11.655,5.417,14.0088,1.000,0.000,0.000,0,1,0,-7,-1.229,0.521,2.979,,Town06
15356,642.517,527.674,50.947,-0.001,-11.145,5.392,7.9890,1.000,0.000,0.000,0,1,0,-7,-1.272,0.478,3.022,,Town06
15357,642.567,527.938,50.898,-0.001,-10.831,5.372,5.3380,1.000,0.000,0.000,0,1,0,-7,-1.321,0.429,3.071,,Town06
15358,642.617,528.202,50.847,-0.002,-10.646,5.407,3.0508,1.000,0.000,0.000,0,1,0,-7,-1.372,0.378,3.122,,Town06
15359,642.667,528.468,50.797,-0.002,-10.541,5.407,1.3458,1.000,0.000,0.000,0,1,0,-7,-1.423,0.327,3.173,,Town06
15360,642.717,528.734,50.746,-0.003,-10.473,5.433,0.8791,1.000,0.000,0.000,0,1,0,-7,-1.473,0.277,3.223,,Town06
15361,642.767,529.003,50.696,-0.003,-10.431,5.508,1.0840,1.000,0.000,0.000,0,1,0,-7,-1.523,0.227,3.273,,Town06
15362,642.817,529.278,50.646,-0.003,-10.412,5.638,0.2204,1.000,0.000,0.000,0,1,0,-7,-1.573,0.177,3.323,,Town06
15363,642.867,529.554,50.595,-0.004,-10.397,5.596,0.3740,1.000,0.000,0.000,0,1,0,-7,-1.624,0.126,3.374,,Town06
15364,642.917,529.830,50.545,-0.004,-10.388,5.614,0.1450,1.000,0.000,0.000,0,1,0,-7,-1.674,0.076,3.424,,Town06
15365,642.967,530.107,50.494,-0.004,-10.384,5.631,0.3001,1.000,0.000,0.000,0,1,0,-7,-1.724,0.026,3.474,,Town06
15366,643.017,530.386,50.443,-0.004,-10.381,5.724,0.0792,1.000,0.000,0.000,0,1,0,-6,1.725,3.475,0.025,,Town06
15367,643.067,530.669,50.392,-0.004,-10.382,5.736,-0.0989,1.000,0.000,0.000,0,1,0,-6,1.673,3.423,0.077,,Town06
15368,643.117,530.951,50.340,-0.004,-10.377,5.732,0.3747,1.000,0.000,0.000,0,1,0,-6,1.622,3.372,0.128,,Town06
15369,643.167,531.233,50.288,-0.004,-10.384,5.782,-0.4980,1.000,0.000,0.000,0,1,0,-6,1.571,3.321,0.179,,Town06
15370,643.217,531.520,50.236,-0.004,-10.381,5.893,0.0901,1.000,0.000,0.000,0,1,0,-6,1.518,3.268,0.232,,Town06
15371,643.267,531.810,50.183,-0.004,-10.382,5.886,-0.2014,1.000,0.000,0.000,0,1,0,-6,1.465,3.215,0.285,,Town06
15372,643.317,532.098,50.130,-0.004,-10.380,5.848,0.1816,1.000,0.000,0.000,0,1,0,-6,1.412,3.162,0.338,,Town06
15373,643.367,532.386,50.077,-0.004,-10.383,5.862,-0.2579,1.000,0.000,0.000,0,1,0,-6,1.360,3.110,0.390,,Town06
15374,643.417,532.675,50.024,-0.004,-10.379,5.880,0.3667,1.000,0.000,0.000,0,1,0,-6,1.307,3.057,0.443,,Town06
15375,643.467,532.965,49.971,-0.004,-10.379,5.927,-0.0659,1.000,0.000,0.000,0,1,0,-6,1.254,3.004,0.496,,Town06
15376,643.517,533.258,49.917,-0.004,-10.378,5.972,0.0212,1.000,0.000,0.000,0,1,0,-6,1.200,2.950,0.550,,Town06
15377,643.567,533.553,49.863,-0.004,-10.381,6.018,-0.3243,1.000,0.000,0.000,0,1,0,-6,1.146,2.896,0.604,,Town06
15378,643.617,533.850,49.808,-0.004,-10.377,6.044,0.4213,1.000,0.000,0.000,0,1,0,-6,1.092,2.842,0.658,,Town06
15379,643.667,534.149,49.754,-0.004,-10.379,6.101,-0.1909,1.000,0.000,0.000,0,1,0,-6,1.037,2.787,0.713,,Town06
15380,643.717,534.449,49.702,-0.004,-10.307,6.090,2.9995,1.000,0.000,0.100,0,1,0,-6,0.986,2.736,0.764,,Town06
15381,643.767,534.751,49.657,-0.004,-10.098,6.114,4.9310,1.000,0.000,0.100,0,1,0,-6,0.941,2.691,0.809,,Town06
15382,643.817,535.054,49.616,-0.004,-9.797,6.133,6.4966,1.000,0.000,0.100,0,1,0,-6,0.900,2.650,0.850,,Town06
15383,643.867,535.359,49.572,-0.003,-9.538,6.184,4.0455,1.000,0.000,0.000,0,1,0,-6,0.856,2.606,0.894,,Town06
15384,643.917,535.665,49.523,-0.003,-9.377,6.201,2.9887,1.000,0.000,0.000,0,1,0,-6,0.807,2.557,0.943,,Town06
15385,643.967,535.973,49.473,-0.003,-9.282,6.256,1.3718,1.000,0.000,0.000,0,1,0,-6,0.757,2.507,0.993,,Town06
15386,644.017,536.281,49.422,-0.003,-9.221,6.258,1.0006,1.000,0.000,0.000,0,1,0,-6,0.707,2.457,1.043,,Town06
15387,644.067,536.591,49.372,-0.003,-9.184,6.306,0.4638,1.000,0.000,0.000,0,1,0,-6,0.656,2.406,1.094,,Town06
15388,644.117,536.903,49.321,-0.004,-9.157,6.324,0.8095,1.000,0.000,0.000,0,1,0,-6,0.606,2.356,1.144,,Town06
15389,644.167,537.217,49.270,-0.004,-9.143,6.368,0.0728,1.000,0.000,0.000,0,1,0,-6,0.555,2.305,1.195,,Town06
15390,644.217,537.532,49.219,-0.004,-9.133,6.386,0.1537,1.000,0.000,0.000,0,1,0,-6,0.504,2.254,1.246,,Town06
15391,644.267,537.849,49.172,-0.004,-9.056,6.425,2.7294,1.000,0.000,0.100,0,1,0,-6,0.457,2.207,1.293,,Town06
15392,644.317,538.168,49.131,-0.004,-8.833,6.434,5.5801,1.000,0.000,0.100,0,1,0,-6,0.417,2.167,1.333,,Town06
15393,644.367,538.488,49.095,-0.004,-8.521,6.464,6.6824,1.000,0.000,0.100,0,1,0,-6,0.380,2.130,1.370,,Town06
15394,644.417,538.810,49.055,-0.004,-8.248,6.489,4.4895,1.000,0.000,0.000,0,1,0,-6,0.341,2.091,1.409,,Town06
